remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:32:11 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MagneMotion,Send_mold2,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,simulateMachine,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,startSim,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,stationDwell,"","INT[40]","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,stations_array,"","udt_station_entry[40]","","(Usage := Public, Constant := false, ExternalAccess := Read/Write)"
COMMENT,MagneMotion,stations_array,"PIN PROTRUSION POS 1",,"stations_array[18].POSITION"
COMMENT,MagneMotion,stations_array,"PIN PROTRUSION POS 2",,"stations_array[19].POSITION"
COMMENT,MagneMotion,stations_array,"PIN PROTRUSION POS 3",,"stations_array[20].POSITION"
TAG,MagneMotion,STATION_STATE_DEPART,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,STATION_STATE_DWELL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,STATION_STATE_IDLE,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,STATION_STATE_PROCESSING,"","INT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,t,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,test,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,test2,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,test3,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,test4,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,test5,"","COUNTER","","(Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,tmp_int,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,v,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,vehicle,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,vehicles,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Vehicles_at_Molds,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Vehicles_Indentified,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,vehicles_in_path,"","DINT[10]","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
COMMENT,MagneMotion,vehicles_in_path,"Mold 1",,"vehicles_in_path[2]"
COMMENT,MagneMotion,vehicles_in_path,"Clean Out Section (Backstretch between IMM$'s)",,"vehicles_in_path[3]"
COMMENT,MagneMotion,vehicles_in_path,"Mold 2",,"vehicles_in_path[4]"
COMMENT,MagneMotion,vehicles_in_path,"Mold 2 Entry/Exit Section",,"vehicles_in_path[5]"
COMMENT,MagneMotion,vehicles_in_path,"Automation Stations",,"vehicles_in_path[6]"
TAG,MagneMotion,VEHICLE_MGR_STATE_IDLE,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,VEHICLE_MGR_STATE_PLACE_ORDER,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,VEHICLE_MGR_STATE_WAIT_FOR_ARRIVAL,"","INT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"MagneMotion","cold_start_service","The cold start service is called to initialize everything from scratch, reset the paths, startup, and order all vehicles to $Nan initial station to get the system going.  At step 5, the cold start service is dormant and doesn$'t do anything (so we return from the routine)","RET()","0"
